nta,boro_name,name,shape_area,population,population_density,engine_incident_average_duration_first_shift,engine_incident_average_duration_second_shift,ladder_incident_average_duration_first_shift,ladder_incident_average_duration_second_shift,rescue_incident_average_duration_first_shift,rescue_incident_average_duration_second_shift,squad_incident_average_duration_first_shift,squad_incident_average_duration_second_shift,hazardous_incident_average_duration_first_shift,hazardous_incident_average_duration_second_shift,engine_needed_per_density_first_shift,engine_needed_per_density_second_shift,ladder_needed_per_density_first_shift,ladder_needed_per_density_second_shift,rescue_needed_per_density_first_shift,rescue_needed_per_density_second_shift,squad_needed_per_density_first_shift,squad_needed_per_density_second_shift,hazardous_needed_per_density_first_shift,hazardous_needed_per_density_second_shift
BK38,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.0712065546069009,0.26057955249361675,0.2121140715771057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK35,Brooklyn,Stuyvesant Heights,0.08031726138079015,0.4797171735484748,0.35406229216092633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK78,Brooklyn,Bushwick South,0.1075611809881771,0.5446599888198945,0.3143069120135182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX27,Bronx,Hunts Point,0.1371737638865364,0.20550242487422382,0.09586102552212451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK83,Brooklyn,Cypress Hills-City Line,0.0685095821407051,0.3718367100273459,0.3121875065161801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN53,Queens,Woodhaven,0.097813004260693,0.42812249769599175,0.26797172956619436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK60,Brooklyn,Prospect Lefferts Gardens-Wingate,0.08103649934158158,0.5095937391409449,0.373363224322872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX34,Bronx,Melrose South-Mott Haven North,0.036366644265981386,0.2962274698212694,0.39756768275969306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX39,Bronx,Mott Haven-Port Morris,0.11293816444761332,0.39593436975932556,0.21905137917294948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX63,Bronx,West Concourse,0.042879483300408326,0.2967411503422019,0.355182004996021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
